table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
public,quotes,lost_at,22,null,YES,timestamp with time zone,null,null,null
public,quotes,lost_reason,23,null,YES,text,null,null,null
public,quotes,free_shipping,24,FALSE,YES,boolean,null,null,null
public,rental_agreements,rental_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,rental_agreements,serial_number,2,null,NO,text,null,null,null
public,rental_agreements,company_id,3,null,NO,text,null,null,null
public,rental_agreements,contact_id,4,null,YES,uuid,null,null,null
public,rental_agreements,product_code,5,null,NO,text,null,null,null
public,rental_agreements,stripe_subscription_id,6,null,YES,text,null,null,null
public,rental_agreements,stripe_customer_id,7,null,YES,text,null,null,null
public,rental_agreements,monthly_price,8,null,NO,numeric,null,10,2
public,rental_agreements,currency,9,'GBP'::text,NO,text,null,null,null
public,rental_agreements,start_date,10,null,NO,timestamp with time zone,null,null,null
public,rental_agreements,trial_end_date,11,null,YES,timestamp with time zone,null,null,null
public,rental_agreements,minimum_term_months,12,24,NO,integer,null,32,0
public,rental_agreements,contract_signed_at,13,null,NO,timestamp with time zone,null,null,null
public,rental_agreements,contract_pdf_url,14,null,YES,text,null,null,null
public,rental_agreements,contract_ip_address,15,null,YES,inet,null,null,null
public,rental_agreements,status,16,'trial'::text,NO,text,null,null,null
public,rental_agreements,cancelled_at,17,null,YES,timestamp with time zone,null,null,null
public,rental_agreements,cancellation_reason,18,null,YES,text,null,null,null
public,rental_agreements,tool_returned_at,19,null,YES,timestamp with time zone,null,null,null
public,rental_agreements,return_condition,20,null,YES,text,null,null,null
public,rental_agreements,created_at,21,now(),NO,timestamp with time zone,null,null,null
public,rental_agreements,updated_at,22,now(),NO,timestamp with time zone,null,null,null
public,shipping_addresses,address_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,shipping_addresses,company_id,2,null,NO,text,null,null,null
public,shipping_addresses,address_line_1,3,null,NO,text,null,null,null
public,shipping_addresses,address_line_2,4,null,YES,text,null,null,null
public,shipping_addresses,city,5,null,NO,text,null,null,null
public,shipping_addresses,state_province,6,null,YES,text,null,null,null
public,shipping_addresses,postal_code,7,null,NO,text,null,null,null
public,shipping_addresses,country,8,'GB'::text,NO,text,null,null,null
public,shipping_addresses,is_default,9,FALSE,YES,boolean,null,null,null
public,shipping_addresses,label,10,null,YES,text,null,null,null
public,shipping_addresses,created_at,11,now(),NO,timestamp with time zone,null,null,null
public,shipping_addresses,updated_at,12,now(),NO,timestamp with time zone,null,null,null
public,shipping_manifests,manifest_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,shipping_manifests,company_id,2,null,NO,text,null,null,null
public,shipping_manifests,subscription_id,3,null,YES,character varying,255,null,null
public,shipping_manifests,destination_country,5,null,NO,character varying,2,null,null
public,shipping_manifests,shipment_type,6,null,NO,character varying,50,null,null
public,shipping_manifests,courier,7,null,YES,character varying,100,null,null
public,shipping_manifests,tracking_number,8,null,YES,character varying,255,null,null
public,shipping_manifests,shipped_at,9,null,YES,timestamp without time zone,null,null,null
public,shipping_manifests,delivered_at,10,null,YES,timestamp without time zone,null,null,null
public,shipping_manifests,customs_invoice_number,11,null,YES,character varying,100,null,null
public,shipping_manifests,total_customs_value_gbp,12,null,YES,numeric,null,10,2
public,shipping_manifests,total_weight_kg,13,null,YES,numeric,null,10,3
public,shipping_manifests,items,14,null,NO,jsonb,null,null,null
public,shipping_manifests,created_at,15,CURRENT_TIMESTAMP,YES,timestamp without time zone,null,null,null
public,shipping_manifests,updated_at,16,CURRENT_TIMESTAMP,YES,timestamp without time zone,null,null,null
public,shipping_manifests,notes,17,null,YES,text,null,null,null
public,shipping_manifests,invoice_id,18,null,YES,uuid,null,null,null
public,shipping_rates,rate_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,shipping_rates,country_code,2,null,NO,text,null,null,null
public,shipping_rates,rate_gbp,3,null,NO,numeric,null,null,null
public,shipping_rates,zone_name,4,null,YES,text,null,null,null
public,shipping_rates,min_order_value,5,0,YES,numeric,null,null,null
public,shipping_rates,free_shipping_threshold,6,null,YES,numeric,null,null,null
public,shipping_rates,active,7,TRUE,NO,boolean,null,null,null
public,shipping_rates,notes,8,null,YES,text,null,null,null
public,shipping_rates,created_at,9,now(),NO,timestamp with time zone,null,null,null
public,shipping_rates,updated_at,10,now(),NO,timestamp with time zone,null,null,null
public,shipping_rates,country_name,11,null,YES,text,null,null,null
public,shipping_rates,display_order,12,999,YES,integer,null,32,0
public,site_branding,brand_key,1,null,NO,text,null,null,null
public,site_branding,brand_name,2,null,NO,text,null,null,null
public,site_branding,logo_url,3,null,YES,text,null,null,null
public,site_branding,created_at,4,now(),YES,timestamp with time zone,null,null,null
public,site_branding,updated_at,5,now(),YES,timestamp with time zone,null,null,null
public,standard_pricing_ladder,tier_id,1,nextval('standard_pricing_ladder_tier_id_seq'::regclass),NO,integer,null,32,0
public,standard_pricing_ladder,min_qty,2,null,NO,integer,null,32,0
public,standard_pricing_ladder,max_qty,3,null,NO,integer,null,32,0
public,standard_pricing_ladder,unit_price,4,null,NO,numeric,null,10,2
public,standard_pricing_ladder,active,5,TRUE,YES,boolean,null,null,null
public,standard_pricing_ladder,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,standard_pricing_ladder,updated_at,7,now(),YES,timestamp with time zone,null,null,null
public,subscription_events,event_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,subscription_events,subscription_id,2,null,NO,uuid,null,null,null
public,subscription_events,event_type,3,null,NO,character varying,50,null,null
public,subscription_events,event_name,4,null,YES,character varying,100,null,null
public,subscription_events,old_value,5,null,YES,jsonb,null,null,null
public,subscription_events,new_value,6,null,YES,jsonb,null,null,null
public,subscription_events,performed_by,7,null,YES,text,null,null,null
public,subscription_events,performed_at,8,CURRENT_TIMESTAMP,YES,timestamp without time zone,null,null,null
public,subscription_events,notes,9,null,YES,text,null,null,null
public,subscription_tools,subscription_id,1,null,NO,uuid,null,null,null
public,subscription_tools,tool_code,2,null,NO,text,null,null,null
public,subscription_tools,added_at,3,now(),NO,timestamp with time zone,null,null,null
public,subscription_tools,added_by,4,null,YES,text,null,null,null
public,subscription_tools,removed_at,5,null,YES,timestamp with time zone,null,null,null
public,subscription_tools,removed_by,6,null,YES,text,null,null,null
public,subscription_tools,removal_reason,7,null,YES,text,null,null,null
public,subscriptions,subscription_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,subscriptions,stripe_subscription_id,2,null,YES,character varying,255,null,null
public,subscriptions,stripe_customer_id,3,null,YES,character varying,255,null,null
public,subscriptions,company_id,4,null,NO,text,null,null,null
public,subscriptions,contact_id,5,null,YES,uuid,null,null,null
public,subscriptions,monthly_price,6,null,NO,numeric,null,10,2
public,subscriptions,currency,7,'GBP'::character varying,YES,character varying,3,null,null
public,subscriptions,tools,8,'[]'::jsonb,YES,jsonb,null,null,null
public,subscriptions,status,9,'trial'::character varying,YES,character varying,50,null,null
public,subscriptions,trial_start_date,10,null,YES,timestamp without time zone,null,null,null
public,subscriptions,trial_end_date,11,null,YES,timestamp without time zone,null,null,null
public,subscriptions,current_period_start,12,null,YES,timestamp without time zone,null,null,null
public,subscriptions,current_period_end,13,null,YES,timestamp without time zone,null,null,null
public,subscriptions,next_billing_date,14,null,YES,timestamp without time zone,null,null,null
public,subscriptions,ratchet_max,15,null,YES,numeric,null,10,2
public,subscriptions,cancel_at_period_end,16,FALSE,YES,boolean,null,null,null
public,subscriptions,cancelled_at,17,null,YES,timestamp without time zone,null,null,null
public,subscriptions,cancellation_reason,18,null,YES,text,null,null,null
public,subscriptions,created_at,19,CURRENT_TIMESTAMP,YES,timestamp without time zone,null,null,null
public,subscriptions,updated_at,20,CURRENT_TIMESTAMP,YES,timestamp without time zone,null,null,null
public,subscriptions,notes,21,null,YES,text,null,null,null
public,subscriptions,created_by,22,null,YES,text,null,null,null
public,subscriptions,updated_by,23,null,YES,text,null,null,null
public,tasks,task_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,tasks,user_id,2,null,NO,text,null,null,null
public,tasks,task_type,3,null,NO,text,null,null,null
public,tasks,priority,4,50,YES,integer,null,32,0
public,tasks,status,5,'pending'::text,YES,text,null,null,null
public,tasks,title,6,null,NO,text,null,null,null
public,tasks,description,7,null,YES,text,null,null,null
public,tasks,company_id,8,null,YES,text,null,null,null
public,tasks,contact_id,9,null,YES,text,null,null,null
public,tasks,quote_id,10,null,YES,uuid,null,null,null
public,tasks,invoice_id,11,null,YES,uuid,null,null,null
public,tasks,subscription_id,12,null,YES,uuid,null,null,null
public,tasks,due_date,13,null,YES,timestamp with time zone,null,null,null
public,tasks,completed_at,14,null,YES,timestamp with time zone,null,null,null
public,tasks,dismissed_at,15,null,YES,timestamp with time zone,null,null,null
public,tasks,auto_generated,16,FALSE,YES,boolean,null,null,null
public,tasks,created_at,17,now(),YES,timestamp with time zone,null,null,null
public,tasks,updated_at,18,now(),YES,timestamp with time zone,null,null,null
public,tool_consumable_map,tool_code,1,null,NO,text,null,null,null
public,tool_consumable_map,consumable_code,2,null,NO,text,null,null,null
public,tool_pricing_ladder,id,1,nextval('tool_pricing_ladder_id_seq'::regclass),NO,integer,null,32,0
public,tool_pricing_ladder,min_qty,2,null,NO,integer,null,32,0
public,tool_pricing_ladder,max_qty,3,null,NO,integer,null,32,0
public,tool_pricing_ladder,discount_pct,4,null,NO,numeric,null,5,2
public,tool_pricing_ladder,active,5,TRUE,YES,boolean,null,null,null
public,tool_pricing_ladder,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,tool_pricing_ladder,updated_at,7,now(),YES,timestamp with time zone,null,null,null
public,trial_intents,id,1,gen_random_uuid(),NO,uuid,null,null,null
public,trial_intents,token,2,null,NO,text,null,null,null
public,trial_intents,company_id,3,null,YES,text,null,null,null
public,trial_intents,contact_id,4,null,YES,uuid,null,null,null
public,trial_intents,machine_id,5,null,YES,uuid,null,null,null
public,trial_intents,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,users,user_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,users,email,2,null,NO,text,null,null,null
public,users,password_hash,3,null,NO,text,null,null,null
public,users,full_name,4,null,NO,text,null,null,null
public,users,role,5,null,NO,text,null,null,null
public,users,sales_rep_id,6,null,YES,text,null,null,null
public,users,is_active,7,TRUE,NO,boolean,null,null,null
public,users,last_login_at,8,null,YES,timestamp with time zone,null,null,null
public,users,created_at,9,now(),NO,timestamp with time zone,null,null,null
public,users,updated_at,10,now(),NO,timestamp with time zone,null,null,null
public,users,reset_token,11,null,YES,text,null,null,null
public,users,reset_token_expires,12,null,YES,timestamp with time zone,null,null,null
public,v_active_subscription_tools,subscription_id,1,null,YES,uuid,null,null,null
public,v_active_subscription_tools,tool_code,2,null,YES,text,null,null,null
public,v_active_subscription_tools,added_at,3,null,YES,timestamp with time zone,null,null,null
public,v_active_subscription_tools,added_by,4,null,YES,text,null,null,null
public,v_active_subscription_tools,company_id,5,null,YES,text,null,null,null
public,v_active_subscription_tools,contact_id,6,null,YES,uuid,null,null,null
public,v_active_subscription_tools,subscription_status,7,null,YES,character varying,50,null,null
public,v_active_subscription_tools,tool_name,8,null,YES,text,null,null,null
public,v_active_subscription_tools,tool_rental_price,9,null,YES,numeric,null,10,2
public,v_active_subscriptions,subscription_id,1,null,YES,uuid,null,null,null
public,v_active_subscriptions,stripe_subscription_id,2,null,YES,character varying,255,null,null
public,v_active_subscriptions,company_id,3,null,YES,text,null,null,null
public,v_active_subscriptions,company_name,4,null,YES,text,null,null,null
public,v_active_subscriptions,contact_id,5,null,YES,uuid,null,null,null
public,v_active_subscriptions,contact_name,6,null,YES,text,null,null,null
public,v_active_subscriptions,contact_email,7,null,YES,text,null,null,null
public,v_active_subscriptions,monthly_price,8,null,YES,numeric,null,10,2
public,v_active_subscriptions,currency,9,null,YES,character varying,3,null,null
public,v_active_subscriptions,tools,10,null,YES,jsonb,null,null,null
public,v_active_subscriptions,status,11,null,YES,character varying,50,null,null
public,v_active_subscriptions,trial_end_date,12,null,YES,timestamp without time zone,null,null,null
public,v_active_subscriptions,next_billing_date,13,null,YES,timestamp without time zone,null,null,null
public,v_active_subscriptions,ratchet_max,14,null,YES,numeric,null,10,2
public,v_active_subscriptions,created_at,15,null,YES,timestamp without time zone,null,null,null
public,v_active_subscriptions,trial_days_remaining,16,null,YES,integer,null,32,0
public,v_active_subscriptions,tool_count,17,null,YES,integer,null,32,0
